sentence_number,word,tag
51,have,O
51,a,B-QUANTITY
51,caramel,B-FLAVOR
51,cold,B-COFFEE-TYPE
51,brew,I-COFFEE-TYPE
51,with,O
51,a,O
51,splash,B-QUANTITY
51,of,O
51,coconut,B-MILK-TYPE
51,milk,I-MILK-TYPE
52,I'll,O
52,take,O
52,a,B-QUANTITY
52,caramel,B-FLAVOR
52,mocha,B-FLAVOR
52,with,O
52,extra,B-QUANTITY
52,whipped,B-ADD-ON
52,cream,I-ADD-ON
53,I'll,O
53,take,O
53,50000,B-QUANTITY
53,honey,B-SWEETENER
53,chamomile,B-FLAVOR
53,cappuccino,B-COFFEE-TYPE
53,iced,B-TEMP
54,I'll,O
54,take,O
54,a,B-QUANTITY
54,chai,B-BEVERAGE
54,tea,I-COFFEE-TYPE
54,with,O
54,a,B-QUANTITY
54,shot,B-ADD-ON
54,of,I-ADD-ON
54,espresso,I-ADD-ON
54,a,B-QUANTITY
54,dirty,B-FLAVOR
54,chai,B-BEVERAGE
55,Can,O
55,I,O
55,get,O
55,a,B-QUANTITY
55,chocolate,B-FLAVOR
55,hazelnut,I-FLAVOR
55,frappuccino,B-COFFEE-TYPE
56,I'll,O
56,have,O
56,a,B-QUANTITY
56,caramel,B-FLAVOR
56,cold,B-COFFEE-TYPE
56,brew,I-COFFEE-TYPE
56,with,O
56,a,B-QUANTITY
56,splash,I-QUANTITY
56,of,O
56,coconut,B-MILK-TYPE
56,milk,I-MILK-TYPE
56,five,B-QUANTITY
56,hash,B-FOOD-ITEM
56,browns,I-FOOD-ITEM
56,3,B-QUANTITY
56,egg,B-FOOD-ITEM
56,and,I-FOOD-ITEM
56,cheese,I-FOOD-ITEM
56,croissants,I-FOOD-ITEM
57,A,B-QUANTITY
57,cardamom,B-FLAVOR
57,rose,B-FLAVOR
57,latte,B-COFFEE-TYPE
57,with,O
57,oat,B-MILK-TYPE
57,milk,I-MILK-TYPE
57,please,O
58,Make,O
58,my,O
58,iced,B-COFFEE-TYPE
58,coffee,I-COFFEE-TYPE
58,with,O
58,a,B-QUANTITY
58,touch,I-QUANTITY
58,of,O
58,maple,B-FLAVOR
58,syrup,B-ADD-ON
59,Make,O
59,my,O
59,latte,B-COFFEE-TYPE
59,with,O
59,almond,B-MILK-TYPE
59,milk,I-MILK-TYPE
59,and,O
59,a,O
59,hint,B-QUANTITY
59,of,O
59,hazelnut,B-FLAVOR
59,please,O
59,with,O
59,2,B-QUANTITY
59,donuts,B-BAKERY-ITEM
60,May,O
60,I,O
60,have,O
60,a,B-QUANTITY
60,cortado,B-COFFEE-TYPE
60,with,O
60,a,B-QUANTITY
60,touch,I-QUANTITY
60,of,O
60,honey,B-SWEETENER
60,and,O
60,a,B-QUANTITY
60,sprinkle,I-QUANTITY
60,of,O
60,cinnamon,B-FLAVOR
61,May,O
61,I,O
61,have,O
61,a,B-QUANTITY
61,honey,B-SWEETENER
61,pecan,B-FLAVOR
61,latte,B-COFFEE-TYPE
61,hot,B-TEMP
62,A,B-QUANTITY
62,hot,B-TEMP
62,caramel,B-FLAVOR
62,apple,B-FLAVOR
62,cider,B-BEVERAGE
62,sounds,O
62,perfect,O
62,right,O
62,now,O
63,A,B-QUANTITY
63,raspberry,B-FLAVOR
63,white,B-FLAVOR
63,mocha,B-COFFEE-TYPE
64,one,B-QUANTITY
64,black,B-COFFEE-TYPE
64,cold,B-COFFEE-TYPE
64,brew,I-COFFEE-TYPE
64,and,O
64,keep,O
64,it,O
64,simple,O
65,Can,O
65,I,O
65,get,O
65,a,B-QUANTITY
65,strawberry,B-FLAVOR
65,basil,I-FLAVOR
65,lemonade,B-BEVERAGE
66,I,O
66,need,O
66,a,B-QUANTITY
66,strong,O
66,and,O
66,bold,O
66,Ethiopian,B-ROAST-TYPE
66,pour-over,I-COFFEE-TYPE
66,black,I-SWEETENER
67,Iced,B-TEMP
67,coconut,B-FLAVOR
67,matcha,B-FLAVOR
67,latte,B-COFFEE-TYPE
67,with,O
67,agave,B-SWEETENER
67,syrup,I-SWEETENER
67,please,O
68,Do,O
68,you,O
68,have,O
68,any,O
68,sugar-free,B-DIETARY-NEEDS
68,options,I-DIETARY-NEEDS
68,for,O
68,your,O
68,iced,B-TEMP
68,coffees,B-COFFEE-TYPE
69,I'll,O
69,go,O
69,for,O
69,a,B-QUANTITY
69,cold,B-COFFEE-TYPE
69,brew,I-COFFEE-TYPE
69,with,O
69,a,O
69,splash,B-QUANTITY
69,of,O
69,coconut milk,B-MILK-TYPE
70,I'll,O
70,go,O
70,for,O
70,a,B-QUANTITY
70,coconut,B-FLAVOR
70,caramel,B-FLAVOR
70,macchiato,B-COFFEE-TYPE
70,extra,B-QUANTITY
70,caramel,B-ADD-ON
70,extra,B-QUANTITY
70,caramel,B-ADD-ON
70,drizzle,I-ADD-ON
71,Can,O
71,I,O
71,get,O
71,a,B-QUANTITY
71,coconut,B-FLAVOR
71,mango,B-FLAVOR
71,iced,B-TEMP
71,coffee,B-COFFEE-TYPE
72,Make,O
72,my,O
72,iced,B-TEMP
72,caramel,B-FLAVOR
72,macchiato,B-COFFEE-TYPE
72,with,O
72,an,B-QUANTITY
72,extra,B-ADD-ON
72,shot,I-ADD-ON
73,1,B-QUANTITY
73,blackberry,B-FLAVOR
73,lavender,B-FLAVOR
73,lemonade,B-BEVERAGE
73,please,O
74,like,O
74,a,B-QUANTITY
74,hot,B-TEMP
74,cappuccino,B-COFFEE-TYPE
74,with,O
74,marshmallows,B-ADD-ON
74,and,O
74,a,O
74,dash,B-QUANTITY
74,of,O
74,cinnamon,B-FLAVOR
75,I,O
76,Make,O
76,my,O
76,iced,B-TEMP
76,coffee,I-COFFEE-TYPE
76,with,O
76,a,B-QUANTITY
76,splash,I-QUANTITY
76,of,O
76,coconut,B-MILK-TYPE
76,cream,I-MILK-TYPE
77,A,B-QUANTITY
77,lavender,B-FLAVOR
77,honey,B-FLAVOR
77,white,B-FLAVOR
77,mocha,B-COFFEE-TYPE
77,with,O
77,almond milk,B-MILK-TYPE
77,milk,I-MILK-TYPE
77,hot,B-TEMP
78,A,B-QUANTITY
78,lavender,B-FLAVOR
78,mint,B-FLAVOR
78,lemonade,B-BEVERAGE
79,Can,O
79,I,O
79,get,O
79,a,B-QUANTITY
79,decaf,B-COFFEE-TYPE
79,cappuccino,B-COFFEE-TYPE
79,with,O
79,a,O
79,sprinkle,B-QUANTITY
79,of,O
79,cinnamon,B-FLAVOR
79,?,O
80,Iced,B-TEMP
80,rosemary,B-FLAVOR
80,lavender,I-FLAVOR
80,latte,B-COFFEE-TYPE
80,with,O
80,almond,B-MILK-TYPE
80,milk,I-MILK-TYPE
80,please,O
81,Make,O
81,my,O
81,iced,B-TEMP
81,coffee,B-COFFEE-TYPE
81,with,O
81,a,O
81,hint,B-QUANTITY
81,of,O
81,pistachio,B-FLAVOR
81,syrup,B-ADD-ON
82,Make,O
82,my,O
82,caramel,B-FLAVOR
82,macchiato,B-COFFEE-TYPE
82,with,O
82,a,O
82,swirl,B-QUANTITY
82,of,O
82,butterscotch,B-FLAVOR
82,please,O
83,A,B-QUANTITY
83,green,B-BEVERAGE
83,tea,I-BEVERAGE
83,with,O
83,soy,B-MILK-TYPE
83,milk,I-MILK-TYPE
84,A,B-QUANTITY
84,cinnamon,B-FLAVOR
84,dolce,B-FLAVOR
84,latte,B-COFFEE-TYPE
84,with,O
84,whipped,B-ADD-ON
84,cream,I-ADD-ON
84,on,O
84,top,O
85,Could,O
85,I,O
85,have,O
85,a,B-QUANTITY
85,soy,B-MILK-TYPE
85,flat,B-COFFEE-TYPE
85,white,I-COFFEE-TYPE
85,with,O
85,7,I-QUANTITY
85,shots,B-ADD-ON
85,of,O
85,vanilla,I-ADD-ON
86,I'll,O
86,take,O
86,a,B-QUANTITY
86,caramel,B-FLAVOR
86,almond,B-MILK-TYPE
86,latte,B-COFFEE-TYPE
87,Iced,B-TEMP
87,matcha,B-FLAVOR
87,latte,B-COFFEE-TYPE
87,with,O
87,almond milk,B-MILK-TYPE
87,milk,I-MILK-TYPE
87,no,B-QUANTITY
87,sweetener,I-SWEETENER
88,I'm,O
88,in,O
88,the,O
88,mood,O
88,for,O
88,a,B-QUANTITY
88,chai,B-BEVERAGE
88,tea,I-COFFEE-TYPE
88,latte,I-COFFEE-TYPE
89,A,B-QUANTITY
89,large,B-SIZE
89,black,B-COFFEE-TYPE
89,coffee,I-COFFEE-TYPE
89,no,B-QUANTITY
89,sugar,I-SWEETENER
89,no,B-QUANTITY
89,cream,I-MILK-TYPE
90,I'm,O
90,in,O
90,the,O
90,mood,O
90,for,O
90,a,B-QUANTITY
90,dirty,B-FLAVOR
90,matcha,B-FLAVOR
90,latte,B-COFFEE-TYPE
90,A,B-QUANTITY
90,extra,B-QUANTITY
90,matcha,B-ADD-ON
90,extra,B-QUANTITY
90,bold,O
91,May,O
91,I,O
91,have,O
91,a,B-QUANTITY
91,Iced,B-TEMP
91,coffee,B-COFFEE-TYPE
91,with,O
91,Snickers,B-FLAVOR
91,and,O
91,10,B-QUANTITY
91,velvet,B-FLAVOR
91,donuts,B-BAKERY-ITEM
92,I'll,O
92,take,O
92,5,B-QUANTITY
92,spicy,B-FLAVOR
92,chai,B-BEVERAGE
92,and,O
92,7,B-QUANTITY
92,hot,B-BEVERAGE
92,chocolate,I-BEVERAGE
93,I'll,O
93,go,O
93,for,O
93,a,O
93,cold,B-COFFEE-TYPE
93,brew,I-COFFEE-TYPE
93,with,O
93,a,B-QUANTITY
93,splash,I-QUANTITY
93,of,O
93,coconut,B-MILK-TYPE
93,milk,I-MILK-TYPE
94,A,B-QUANTITY
94,chai,B-BEVERAGE
94,tea,I-COFFEE-TYPE
94,with,O
94,almond,B-MILK-TYPE
94,a,B-QUANTITY
94,dash,I-QUANTITY
94,of,O
94,pumpkin,B-FLAVOR
94,spice,I-FLAVOR
95,A,B-QUANTITY
95,cherry,B-FLAVOR
95,almond,B-MILK-TYPE
95,blossom,B-FLAVOR
95,latte,B-COFFEE-TYPE
95,please,O
96,A,B-QUANTITY
96,peppermint,B-FLAVOR
96,hot,B-BEVERAGE
96,chocolate,I-BEVERAGE
96,with,O
96,whipped,B-ADD-ON
96,cream,I-ADD-ON
97,What's,O
97,your,O
97,most,O
97,popular,O
97,iced,B-TEMP
97,tea,B-BEVERAGE
97,I'll,O
97,take,O
97,that,O
98,I,O
98,please,O
98,have,O
98,an,B-QUANTITY
98,extra,B-SIZE
98,large,I-SIZE
98,decaf,B-COFFEE-TYPE
98,with,O
98,caramel,B-ADD-ON
98,syrup,I-ADD-ON
98,drizzle,I-ADD-ON
99,Can,O
99,I,O
99,have,O
99,a,B-QUANTITY
99,regular,B-FLAVOR
99,decaf,B-COFFEE-TYPE
99,macchiato,I-COFFEE-TYPE
100,Can,O
100,I,O
100,get,O
100,a,B-QUANTITY
100,latte,B-COFFEE-TYPE
100,macchiato,I-COFFEE-TYPE
101,I'll,O
101,take,O
101,a,B-QUANTITY
101,decaf,B-COFFEE-TYPE
101,americano,I-COFFEE-TYPE
102,I'll,O
102,take,O
102,a,B-QUANTITY
102,decaf,B-COFFEE-TYPE
102,caramel,I-FLAVOR
102,latte,I-COFFEE-TYPE
103,Can,O
103,I,O
103,get,O
103,a,B-QUANTITY
103,decaf,B-COFFEE-TYPE
103,cappuccino,I-COFFEE-TYPE
104,I'll,O
104,have,O
104,a,B-QUANTITY
104,latte,B-COFFEE-TYPE
105,Can,O
105,I,O
105,have,O
105,a,B-QUANTITY
105,decaf,B-COFFEE-TYPE
105,coffee,I-COFFEE-TYPE
106,A,B-QUANTITY
106,small,B-SIZE
106,decaf,B-COFFEE-TYPE
106,black,I-COFFEE-TYPE
106,coffee,I-COFFEE-TYPE
107,I'll,O
107,have,O
107,a,B-QUANTITY
107,rooibos,B-BEVERAGE
107,tea,I-BEVERAGE
108,A,B-QUANTITY
108,small,B-SIZE
108,decaf,B-COFFEE-TYPE
108,coffee,I-COFFEE-TYPE
108,with,O
108,milk,I-ADD-ON
109,Can,O
109,I,O
109,have,O
109,iced,B-TEMP
109,tea,I-BEVERAGE
110,I'll,O
110,take,O
110,a,B-QUANTITY
110,jasmine,B-FLAVOR
110,tea,B-BEVERAGE
111,I'll,O
111,have,O
111,a,B-QUANTITY
111,decaf,B-COFFEE-TYPE
111,ristretto,I-COFFEE-TYPE
112,Can,O
112,I,O
112,get,O
112,a,B-QUANTITY
112,decaf,B-COFFEE-TYPE
112,ristretto,I-COFFEE-TYPE
113,A,B-QUANTITY
113,small,B-SIZE
113,decaf,B-COFFEE-TYPE
113,americano,I-COFFEE-TYPE
114,A,B-QUANTITY
114,small,B-SIZE
114,herbal,B-BEVERAGE
114,tea,I-BEVERAGE
115,A,B-QUANTITY
115,small,B-SIZE
115,decaf,B-COFFEE-TYPE
115,espresso,I-COFFEE-TYPE
116,Can,O
116,I,O
116,have,O
116,a,B-QUANTITY
116,regular,B-SIZE
116,Darjeeling,B-BEVERAGE
116,tea,I-BEVERAGE
117,A,B-QUANTITY
117,small,B-SIZE
117,decaf,I-COFFEE-TYPE
117,with,O
117,milk,B-ADD-ON
118,A,B-QUANTITY
118,small,B-SIZE
118,decaf,B-COFFEE-TYPE
118,espresso,I-COFFEE-TYPE
118,macchiato,I-COFFEE-TYPE
119,Can,O
119,I,O
119,have,O
119,a,B-QUANTITY
119,decaf,B-COFFEE-TYPE
119,lungo,I-COFFEE-TYPE
120,A,B-QUANTITY
120,small,B-SIZE
120,decaf,I-COFFEE-TYPE
120,espresso,I-COFFEE-TYPE
121,I'll,O
121,have,O
121,a,B-QUANTITY
121,decaf,B-COFFEE-TYPE
121,latte,I-COFFEE-TYPE
121,in,O
121,a,O
121,medium,B-SIZE
122,A,B-QUANTITY
122,small,B-SIZE
122,black,I-COFFEE-TYPE
122,tea,I-BEVERAGE
123,I'll,O
123,have,O
123,a,B-QUANTITY
123,decaf,B-COFFEE-TYPE
123,hazelnut,B-FLAVOR
123,latte,I-COFFEE-TYPE
124,A,B-QUANTITY
124,small,B-SIZE
124,hibiscus,B-BEVERAGE
124,tea,I-BEVERAGE
125,A,B-QUANTITY
125,small,B-SIZE
125,decaf,B-COFFEE-TYPE
125,vanilla,I-FLAVOR
125,latte,I-COFFEE-TYPE
126,I'll,O
126,have,O
126,a,B-QUANTITY
126,decaf,B-COFFEE-TYPE
126,flat,I-COFFEE-TYPE
126,white,I-COFFEE-TYPE
127,Can,O
127,I,O
127,get,O
127,a,B-QUANTITY
127,green,B-COFFEE-TYPE
127,tea,I-COFFEE-TYPE
128,I'll,O
128,take,O
128,a,B-QUANTITY
128,decaf,B-COFFEE-TYPE
128,coffee,I-COFFEE-TYPE
128,with,O
128,cream,B-ADD-ON
129,Can,O
129,I,O
129,get,O
129,a,B-QUANTITY
129,decaf,B-COFFEE-TYPE
129,cortado,B-ADD-ON
130,A,B-QUANTITY
130,small,B-SIZE
130,decaf,I-COFFEE-TYPE
130,affogato,I-ADD-ON
131,I'll,O
131,take,O
131,a,B-QUANTITY
131,chai,B-FLAVOR
131,tea,I-BEVERAGE
132,I'll,O
132,have,O
132,a,B-QUANTITY
132,decaf,B-COFFEE-TYPE
132,macchiato,I-COFFEE-TYPE
133,I'll,O
133,take,O
133,a,B-QUANTITY
133,decaf,B-COFFEE-TYPE
133,mocha,I-COFFEE-TYPE
134,I'll,O
134,take,O
134,a,B-QUANTITY
134,green,B-FLAVOR
134,matcha,I-FLAVOR
134,tea,B-BEVERAGE
